,en,nl
-,202.0,28.0
local election,4043.0,4.0
championship,549.0,72.0
presidential election,2994.0,5.0
ceremony,1123.0,95.0
tennis tournament,3104.0,856.0
auto race,131.0,
single-day road race,1233.0,
legislative election,1675.0,112.0
military operation,2057.0,
motorcycle race,632.0,342.0
multi-sport event,316.0,98.0
rally,151.0,93.0
stage race,85.0,
marathon,39.0,37.0
wrestling event,203.0,26.0
1.1,70.0,
festival,31.0,13.0
1.2,56.0,
annual event,21.0,6.0
round,28.0,
association football competition,39.0,5.0
regatta,51.0,3.0
music festival,14.0,5.0
royal wedding,17.0,
contract,6.0,5.0
holiday,2.0,
economic crisis,4.0,
mass shooting,87.0,15.0
riot,73.0,5.0
disease outbreak,2.0,2.0
storm,60.0,
legal case,39.0,1.0
aircraft shootdown,1.0,1.0
natural disaster,1.0,1.0
